wrestler_id,wname,highest_rank,dob
4182,Hidenishiki,J9e,1929-09-17
3976,Toyonoumi,M18w,1939-03-28
4166,Hakuyuzan,J8e,1928-01-05
4206,Sakunobori,J6w,1931-03-19
3892,Futaseyama,J15e,1921-08-07
3937,Nanatsuumi,J7w,1927-10-08
3919,Sakurakuni,J6w,1926-06-08
4183,Ijuin,J7w,1928-11-20
3954,Kamioiyama,J10w,1931-05-24
4189,Wakanosato,J16w,1932-03-20
4201,Mikasayama,J18e,1935-01-02
3940,Tatekabuto,J18w,1924-10-27
4198,Akenoumi,J19e,1935-03-23
4186,Isenishiki,J15e,1929-10-18
3914,Nachinoyama,J20e,1920-08-15
4196,Asanishiki,J14e,1934-07-27
3975,Kashiwado,Y,1938-11-29
4202,Tokitsuumi,J21w,1935-05-21
4193,Kashiwaryu,J19w,1930-03-15
3985,Myobudani,S,1937-04-29
3982,Fukudayama,M4w,1931-07-18
4187,Fukumidori,J23w,1930-03-20
3974,Wakachichibu,S,1939-03-16
3983,Kiyonomori,M9w,1935-04-08
3977,Kitabayama,O,1935-05-17
3984,Wakasugiyama,M1w,1933-01-24
3980,Fujinishiki,K,1937-03-18
3978,Daigo,S,1937-09-24
3998,Ichinoya,M4w,1937-06-30
3981,Shinkawa,M2e,1935-10-03
3979,Aonosato,S,1935-11-13
4207,Nishinaka,J7w,1937-11-27
4208,Hisahikari,J10e,1933-08-08
4209,Midoriiwa,J18w,1933-09-09
4210,Tamanoura,J7e,1932-10-06
4211,Okinoshima,J7e,1934-05-31
4212,Kochi,J3w,1933-02-20
4007,Asanoumi,M9e,1936-11-22
3990,Oiteyama,M6e,1938-06-16
4213,Sawakaze,J2w,1936-05-12
3989,Tochinoumi,Y,1938-03-13
3986,Wakanokuni,M8e,1936-04-04
3987,Taiho,Y,1940-05-29
3988,Udagawa,M3e,1939-12-03
4205,Tsuboi,J22e,1935-04-05
3995,Kainoyama,S,1940-06-28
4214,Tokinami,J3e,1935-11-20
4215,Wakatokachi,J10e,1938-10-20
4204,Matsushima,J7w,1935-06-15
3991,Kairyuyama,S,1939-08-28
3992,Hagurogawa,S,1936-03-28
3994,Sadanoyama,Y,1938-02-18
3997,Kiminishiki,M3e,1937-07-06
3993,Maedagawa,S,1939-02-09
3996,Niigiyama#,M11e,1940-01-05
4216,Unzenyama,J7w,1938-07-03
4217,Omidori,J1w,1934-10-03
4016,Daiyu,M1e,1940-05-27
4218,Sagaminada,J10e,1937-11-09
4219,Tsunenomatsu,J13w,1936-09-13
4001,Wakakoma,M8w,1937-04-20
4000,Wakatenryu,M1e,1940-01-01
4220,Wakamiyama,J15e,1936-01-11
4221,Tenzan,J5w,1931-05-15
4002,Toyokuni,K,1937-11-30
4222,Hibikiya,J10e,1939-01-20
4223,Tokitsunami,J4w,1934-07-27
4017,Wakanami,K,1941-03-01
4224,Oyazaki,J7e,1933-02-10
4225,Onosaki,J4w,1937-07-21
4004,Amatsukaze,M3w,1937-12-01
4006,Taikon#,M5w,1938-02-15
4005,Okanoyama,M5e,1935-11-03
4010,Miyanohana,M12e,1938-01-30
4009,Hirokawa,K,1937-05-28
4003,Yutakayama,O,1937-08-18
4019,Aranami,M4w,1940-11-16
4014,Wakanaruto,M6w,1939-02-07
4012,Ogiyama,M5e,1938-03-27
4023,Sawahikari,K,1941-06-18
4008,Tamaarashi,M4e,1941-08-01
4011,Azumanishiki,M15e,1940-10-02
4029,Kitanokuni,M10e,1938-01-15
4226,Akashiumi,J11e,1940-02-06
4227,Yoshinoiwa,J7e,1938-10-29
4228,Terunoumi,J17w,1937-07-18
4013,Tochioyama,M1w,1943-03-01
4015,Kotozakura,Y,1940-11-26
4022,Daikirin,O,1942-06-20
4018,Sakahoko,M6e,1942-06-07
4037,Hanahikari,M3e,1940-06-21
4020,Kurojishi,M12e,1939-02-02
4042,Daimonji,M5w,1940-02-21
4027,Asasegawa,M1e,1942-05-04
4032,Hasegawa,S,1944-07-20
4229,Sanbeyama,J4w,1938-06-08
4021,Kotetsuyama,S,1942-07-09
4230,Orochigawa,J4w,1938-04-10
4025,Kitanofuji,Y,1942-03-28
4026,Wakamiyama,S,1943-04-16
4024,Kiyokuni,O,1941-11-20
4030,Matsumaeyama,M9e,1940-06-29
4231,Shikinohana,J13w,1937-01-02
4033,Tensuiyama,M10w,1940-12-08
4031,Yoshinohana,M1e,1943-09-04
4232,Kongo,J10e,1940-09-24
4233,Datenishiki,J16e,1937-11-12
4234,Kawachiyama,J7w,1936-08-03
4028,Tamanoumi,Y,1944-02-05
4034,Wakanoshima,M5w,1941-05-05
4235,Banryunada,J17w,1937-05-03
4236,Mikiyama,J8w,1936-07-19
4237,Terunohana,J6e,1941-10-26
4238,Daikanyama,J11e,1936-03-02
4239,Arakawa,J8e,1940-01-01
4038,Wakafutase,K,1942-02-20
4240,Akihikari,J3w,1941-08-01
4241,Matsuhikari,J10e,1943-04-11
4242,Tsugarukuni,J3e,1941-05-15
4036,Fukunohana,S,1940-07-01
4243,Hachiryu,J15e,1942-10-26
4244,Maedahana,J4e,1940-10-06
4245,Ryushoyama,J7w,1942-10-20
4035,Daishin,M8e,1937-08-02
4045,Futagodake,K,1943-11-15
4039,Asaoka,M10w,1941-06-20
4246,Kainishiki,J16e,1938-02-11
4084,Makimoto,M12e,1941-08-13
4247,Wakabayama,J5w,1946-11-07
4048,Wakayoshiba,M6w,1945-10-26
4248,Tashiroiwa,J18e,1936-06-15
4249,Tochitada,J9e,1941-03-01
4250,Kusunoumi,J16e,1944-03-13
4064,Katsuhikari,M1e,1942-08-09
4047,Tochiazuma,S,1944-09-03
4251,Akinokuni,J9w,1942-04-11
4040,Misogidori,M2e,1943-12-10
4252,Aonoumi,J6w,1941-08-13
4253,Kumanoura,J9w,1940-07-04
4052,Kitanohana,M6e,1944-05-22
4046,Mutsuarashi,S,1943-01-12
4044,Haguroiwa,K,1946-06-30
4041,Maenoyama,O,1945-03-09
4043,Fujinokawa,S,1946-09-26
4254,Tenchiyama,J12w,1941-11-18
4255,Hanaikada,J17w,1941-09-24
4256,Wakahikari,J11e,1943-11-14
4257,Dairyu,J6e,1944-10-15
4258,Hayama,J10e,1943-05-31
4049,Tokibayama,M2e,1944-05-05
4059,Asaarashi,M12e,1943-07-08
4259,Mitakayama,J17e,1947-09-29
4260,Hakuryo,J3w,1942-12-10
4053,Dairyugawa,M1e,1946-01-21
4261,Shinzan,J18w,1939-10-07
4262,Hidenishiki,J18e,1939-03-04
4051,Ryuko,K,1941-01-09
4050,Takamiyama,S,1944-06-16
4069,Arashiyama,M12e,1943-12-14
4054,Tochifuji,M3e,1946-06-08
4058,Asanobori,M2e,1948-06-03
4263,Asakaze,J2w,1941-06-23
4060,Tochiisami,M7w,1947-10-02
4264,Kurowashi,J3e,1940-11-10
4055,Oiyama,M12e,1945-03-05
4067,Daisetsu,M3w,1944-11-30
4075,Shiratayama,M4e,1943-12-25
4056,Takanohana,O,1950-02-19
4265,Ageshio,J2e,1941-12-03
4266,Miyama,J5e,1941-02-15
4057,Futagoryu,M5w,1941-11-16
4267,Edohibiki,J1e,1941-09-04
4085,Owashi,M3w,1946-01-12
4063,Taiga,M1w,1950-01-03
4066,Yoshioyama,M2e,1949-05-20
4062,Kurohimeyama,S,1948-11-12
4065,Mienoumi,Y,1948-02-04
4061,Asahikuni,O,1947-04-25
4072,Kongo,S,1948-11-18
4068,Masuiyama,O,1948-11-16
4268,Manazuru,J1w,1945-01-26
4082,Kitaseumi,S,1948-07-02
4070,Daiju,O,1950-03-19
4269,Hagiyama,J8e,1948-10-21
4071,Teruzakura,M7w,1947-12-05
4078,Oshio,K,1948-01-04
4081,Futatsuryu,K,1950-02-28
4270,Kabumoto,J9w,1944-04-23
4076,Kaiketsu,O,1948-02-16
4077,Fujizakura,S,1948-02-09
4271,Taikan,J4e,1944-10-20
4073,Ryuo,M1w,1945-02-25
4272,Kasugaryu,J6w,1947-02-25
4090,Ryoga,M13e,1948-01-20
4273,Tachihikari,J7e,1943-05-19
4074,Wajima,Y,1948-01-11
4079,Yutakayama,K,1947-10-22
4092,Maruyama,M2eHD,1946-11-14
4274,Tochizakura,J4e,1947-02-11
4275,Tochibayama,J9w,1946-05-07
4083,Wakanoumi,M2e,1945-10-25
4087,Wakajishi,K,1948-05-04
4276,Byakuhoyama,J7e,1948-04-26
4277,Shurao,J4e,1949-07-15
4080,Kitanoumi,Y,1953-05-16
4102,Aobajo,S,1948-11-14
4086,Iwatora,M7e,1948-01-27
4278,Atsuminada,J12e,1945-12-25
4279,Tobishima,J13w,1950-05-03
4088,Tenryu,M1w,1950-02-02
4097,Tamakiyama,K,1951-04-29
4280,Shiraneyama,J13e,1950-03-11
4089,Daio,M4e,1949-06-23
4096,Yoshinotani,M4w,1949-04-23
4281,Kunimiyama,J13e,1948-03-31
4091,Washuyama,S,1949-04-02
4282,Haji,J11w,1945-10-20
4108,Katsunishiki,M13w,1946-07-02
4283,Takanoyama,J11w,1951-06-01
4093,Arase,S,1949-06-20
4284,Konryu,J12w,1946-02-23
4098,Kotonofuji,M5e,1951-11-07
4285,Genbu,J7e,1946-05-04
4100,Kaneshiro,S,1953-02-27
4110,Chiyozakura,M5e,1950-04-14
4286,Daisharin,J6w,1949-09-25
4094,Onishiki,K,1953-09-11
4095,Wakanohana,Y,1953-04-03
4287,Tochiiyama,J13e,1949-03-30
4107,Kaiki,S,1952-06-12
4101,Tamanofuji,S,1949-11-24
4288,Chiyonoumi,J7e,1945-10-21
4289,Kotonosato,J11w,1951-01-03
4099,Kirinji,S,1953-03-09
4290,Kenryu,J5w,1946-01-02
4109,Kotogatake,M1w,1952-09-24
4291,Oshinoyama,J8e,1950-01-29
4292,Kozan,J1w,1951-06-14
4105,Aobayama,K,1950-04-03
4293,Kasuganada,J3w,1950-11-23
4294,Kiyonohana,J5w,1950-11-08
4114,Daihi,M2e,1952-10-16
4103,Banryuyama,K,1951-05-04
4295,Teruyama,J8e,1945-11-15
1354,Chiyonofuji,Y,1955-06-01
4296,Wakasoryu,J8e,1950-05-28
4104,Takanosato,Y,1952-09-29
1375,Masudayama,S,1951-04-10
4106,Daigo,M11e,1952-05-23
1374,Kurama,S,1952-12-16
4297,Naniwaryu,J10e,1948-09-26
4116,Dewanohana,S,1951-05-13
4298,Ohashi,J13w,1953-04-05
1401,Konuma,M9e,1955-08-14
4111,Zaonishiki,M1w,1952-09-03
4120,Taiko,M8w,1953-10-30
4113,Onoumi,M4w,1953-02-05
4299,Ryumon,J1w,1953-04-16
4112,Kotokaze,O,1957-04-26
4122,Kurosegawa,K,1951-05-13
4130,Hachiya,M6w,1950-11-16
4125,Shinko,M8w,1950-01-02
4115,Iwanami,M8w,1955-02-15
4300,Kototateyama,J7w,1952-03-15
1385,Tochiakagi,S,1954-10-31
4117,Misugiiso,M2w,1956-05-11
4301,Chikarakoma,J11w,1948-02-28
4302,Ushiwakamaru,J8e,1956-05-05
4121,Yamaguchi,M4w,1952-04-16
4124,Shishiho,M2w,1955-08-14
1338,Ozutsu,S,1956-04-18
4303,Suiryu,J2e,1953-02-04
4118,Amanoyama,M1w,1953-12-28
4119,Kotowaka,M2e,1954-04-07
4123,Kagetora,M11e,1954-05-21
4126,Sadanoumi,K,1956-07-19
4304,Kitanohana,J4w,1950-06-13
1378,Hoo,S,1956-12-07
4305,Tsunenoyama,J12w,1946-08-07
4131,Tochitsurugi,M2w,1955-04-26
4306,Ofuji,J6w,1958-08-26
1379,Asashio,O,1955-12-09
4307,Takabayama,J10w,1954-03-31
4133,Takarakuni,M2e,1956-08-16
4140,Chikubayama,M13e,1957-08-21
1369,Toryu,S,1958-12-19
4308,Kaminosato,J12e,1950-12-07
4129,Hakuryuyama,M13e,1954-07-10
4309,Jakuetsu,J12e,1952-01-28
4310,Matsuyama,J1e,1952-04-06
1345,Tamaryu,K,1954-07-22
4311,Hakuryu,J1w,1954-04-12
1380,Hidanohana,M1w,1953-12-13
4312,Kotonoryu,J11e,1951-02-06
4128,Kotochitose,M5e,1957-04-22
1347,Itai,K,1956-03-21
4313,Shoho,J11e,1957-01-05
1353,Daijuyama,S,1959-04-08
1361,Daitetsu,K,1956-10-29
4127,Wakashimazu,O,1957-01-12
1363,Hokutenyu,O,1960-08-08
4314,Ayanoumi,J13e,1955-08-17
1334,Wakasegawa,M1w,1962-07-28
1356,Kinoarashi,M2e,1961-07-09
1352,Tagaryu,S,1958-02-15
4134,Oyutaka,K,1955-03-29
1302,Takamisugi,K,1961-03-01
4132,Wakanofuji,M2e,1956-03-29
4135,Oko,M14e,1956-08-17
1359,Koboyama,S,1957-08-15
4315,Fujinoiwa,J13w,1958-07-08
1332,Sakahoko,S,1961-06-18
4317,Nishinofuji,J10w,1959-09-04
4316,Kakureizan,J2w,1959-11-24
1358,Hoshiiwato,M14e,1955-07-25
4318,Tengoyama,J5e,1953-10-02
4319,Harunafuji,J2e,1959-02-03
4138,Tochimatoi,M11e,1959-01-30
4320,Kusatake,J11e,1957-12-05
1337,Tochitsukasa,S,1958-04-25
1342,Asahifuji,Y,1960-07-06
1350,Onokuni,Y,1962-10-09
4321,Kaio,J7e,1957-04-14
1301,Kirishima,O,1959-04-03
1348,Jingaku,K,1959-12-24
1381,Dewanoshima,J7e,1962-11-03
4322,Sanofuji,J5e,1957-05-27
1451,Tochiizumi,J3e,1959-11-26
4323,Shiraiwa,J7e,1957-03-05
1339,Hokutoumi,Y,1963-06-22
1417,Ichinowatari,J5e,1959-04-02
4324,Rinho,J11w,1960-01-22
1317,Hananokuni,M1e,1959-10-15
1362,Onohana,M13w,1958-06-23
1496,Seionada,J9w,1960-10-20
4325,Kiyomidake,J13e,1961-06-04
1364,Masurao,S,1961-06-27
1376,Hananoumi,K,1960-12-06
4139,Koryu,M4w,1961-09-12
4137,Fujinokawa,M3e,1960-08-20
1383,Sekinohana,J11e,1959-05-02
1287,Konishiki,O,1963-12-31
1372,Maenoshin,K,1961-04-17
4327,Hiyama,J12e,1960-04-06
4136,Futahaguro,Y,1963-08-12
4326,Hanaryu,J12e,1956-10-28
1292,Kotogaume,S,1963-10-05
4328,Hanaarashi,J9e,1957-04-03
28,Mitoizumi,S,1962-09-02
4330,Wakatsukuba,J8w,1956-10-30
4329,Fujinosato,J13e,1959-10-23
33,Terao,S,1963-02-02
1333,Sasshunada,M1w,1957-06-07
49,Misugisato,K,1962-07-01
1470,Tenkoyama,J13e,1961-08-25
4331,Iyozakura,J11e,1961-03-20
1367,Fujinoshin,M1e,1960-11-06
1335,Takanofuji,K,1963-10-09
4332,Tochinohana,J4e,1962-09-04
37,Kotoinazuma,K,1962-04-26
4333,Tachinofuji,J11e,1960-07-26
4334,Takuetsuyama,J5w,1961-11-08
4335,Ojishi,J11w,1963-12-13
1476,Otaka,J4w,1960-09-16
1311,Kototsubaki,M3w,1960-12-06
1310,Kirinishiki,M2e,1962-08-31
1377,Iwatefuji,J6e,1963-08-09
1330,Ryogoku,K,1962-07-30
1423,Wakanoumi,J4e,1959-06-04
1315,Enazakura,M1w,1960-07-29
4336,Tamakirin,J6w,1961-05-08
23,Tochinowaka,S,1962-05-22
1331,Saganobori,M14e,1961-11-27
1303,Kotofuji,S,1964-10-28
30,Kitakachidoki,M3w,1966-01-01
1370,Morinosato,J9e,1963-07-26
1397,Ishinriki,J1w,1961-01-24
4141,Nankairyu,M2w,1965-02-22
9,Akinoshima,S,1967-03-16
60,Toyonoumi,M1w,1965-09-22
1433,Kitafubuki,J9e,1963-10-28
1512,Fukuryudake,J12e,1959-05-08
1365,Hananofuji,J1w,1958-11-21
1296,Kasugafuji,M1e,1966-02-20
51,Daizen,K,1964-12-14
1299,Kiraiho,M4e,1966-01-05
1297,Dairyu,J4e,1960-09-30
12,Kotonishiki,S,1968-06-08
1326,Tsunenoyama,M12e,1963-01-29
4337,Kiyononada,J13w,1964-07-24
1321,Dewanokuni,J3w,1964-01-15
1520,Hidenohana,J5e,1965-02-10
1295,Kyokudozan,K,1964-10-14
1319,Tachihikari,M15w,1963-09-12
1366,Takanomine,M12e,1959-01-23
1314,Owakamatsu,M13w,1966-11-17
1313,Komafudo,M13w,1967-09-15
1305,Kyokugozan,M9e,1968-09-18
1285,Asahisato,M14w,1965-11-09
44,Kushimaumi,M1e,1965-08-06
55,Zenshinyama,J2e,1966-04-22
18,Takatoriki,S,1967-09-28
1288,Kotobeppu,M1e,1965-10-17
48,Oginohana,M2e,1967-11-18
1368,Ryukozan,M5e,1967-06-23
1309,Tamakairiki,M8e,1966-07-16
1373,Fukunosato,J13e,1961-06-04
1349,Kotohakusan,J4e,1961-06-01
2,Takanohana,Y,1972-08-12
1355,Goken,J5e,1964-06-26
1371,Ryujuyama,J8e,1961-06-12
1323,Kumao,J5e,1965-10-02
1,Akebono,Y,1969-05-08
3,Wakanohana,Y,1971-01-20
1307,Daishoyama,M2w,1966-07-07
77,Yutakafuji,J5w,1970-04-14
14,Kotonowaka,S,1968-05-15
157,Tomoefuji,K,1971-01-27
1327,Yoshinobori,J4e,1968-08-19
1351,Ryugahama,J7w,1963-08-16
53,Tokitsunada,M4e,1969-08-02
1360,Oishida,J13w,1961-10-02
1324,Terunoumi,M15e,1967-09-15
1294,Naminohana,K,1969-03-19
1357,Yamanishiki,J10w,1965-05-22
160,Tatsuhikari,M6w,1969-10-25
1329,Daigaku,J2w,1965-04-14
45,Daishoho,K,1967-05-07
82,Tochitenko,J4e,1967-02-19
1286,Kenko,K,1967-06-27
42,Mainoumi,K,1968-02-17
5,Takanonami,O,1971-10-27
1341,Seifuriki,J12w,1967-03-11
1290,Wakashoyo,S,1966-03-08
1306,Hitachiryu,M14e,1969-10-19
87,Wakanoyama,K,1972-05-12
4,Musashimaru,Y,1971-05-02
1346,Kengaku,J11w,1968-12-30
15,Oginishiki,K,1971-07-08
1340,Taishin,J9w,1967-04-25
1344,Akinomine,J11e,1968-11-25
11,Aogiyama,M1w,1970-02-18
7,Kaio,O,1972-07-24
24,Ganyu,M1w,1970-08-06
16,Minatofuji,M2e,1968-07-06
73,Kanechika,J2w,1969-11-12
133,Genkai,J12e,1968-12-26
26,Higonoumi,M1w,1969-09-23
67,Tochinofuji,M11e,1969-11-15
1325,Wakatosho,J9e,1968-10-23
76,Hoshitango,J3w,1965-09-05
1322,Hidenoumi,J9w,1965-11-20
91,Hoshiandesu,J2w,1968-06-01
1328,Yamanakayama,J13e,1970-09-17
52,Tomonohana,K,1964-06-23
209,Asanonami,J3e,1971-06-19
34,Asanowaka,M1w,1969-12-11
25,Hamanoshima,K,1970-03-21
36,Asanosho,M2w,1969-12-23
6,Musoyama,O,1972-02-14
62,Daishi,M3e,1968-08-23
20,Shikishima,M1w,1970-12-15
1289,Rikio,M4w,1972-12-20
372,Chokairyu,J9e,1965-05-19
238,Umenosato,J13w,1964-05-03
174,Mutsuhokkai,J6e,1964-06-24
191,Kiyonofuji,J11e,1966-02-11
140,Ohidake,J7e,1966-10-12
59,Susanoumi,J2e,1972-08-30
21,Asahiyutaka,K,1968-09-10
1318,Shigenoumi,J11w,1967-06-14
1316,Oyamato,J12e,1971-01-21
144,Ryudo,J8w,1971-05-26
143,Daiden,J13w,1970-09-08
29,Kotoryu,M1w,1972-03-02
177,Mutetsuyama,J11w,1971-03-27
66,Wakahayato,J3w,1971-01-03
138,Sentoryu,M12w,1969-07-16
13,Tosanoumi,S,1972-02-16
134,Tsurunofuji,J9w,1973-01-29
35,Kyokushuzan,K,1973-03-08
68,Gokenzan,J6e,1973-07-12
17,Tamakasuga,S,1972-01-07
57,Yamato,M12w,1969-12-17
75,Daihisho,M10e,1973-08-30
22,Gojoro,M3e,1973-08-18
8,Chiyotaikai,O,1976-04-29
1300,Daiki,J10w,1973-07-16
27,Wakanojo,M6w,1973-04-13
1291,Sunahama,J5e,1971-07-22
124,Saigo,J5w,1975-09-07
74,Kotokanyu,J7e,1966-02-02
63,Otsukasa,M4w,1971-02-18
41,Kyokutenho,S,1974-09-13
1293,Chiyonowaka,J9e,1972-03-08
19,Tochiazuma,O,1976-11-09
1298,Kotoarashi,J9e,1972-10-18
46,Dewaarashi,M14w,1970-07-28
31,Dejima,O,1974-03-21
10,Tochinonada,S,1974-02-26
47,Chiyotenzan,K,1976-02-06
54,Ohinode,M9w,1970-01-19
32,Akinoshu,M9w,1969-01-17
58,Oikari,M11e,1972-06-16
40,Kaiho,K,1973-04-17
50,Tokitsuumi,M3e,1973-11-08
38,Toki,K,1974-07-04
39,Wakanosato,S,1976-07-10
83,Arashi,J10e,1971-03-26
61,Hokutohikari,J10w,1972-07-15
96,Jumonji,M6e,1976-06-09
43,Kinkaiyama,M6e,1976-01-07
72,Tochisakae,M1w,1974-06-27
56,Masutsuyoshi,J6w,1974-01-22
64,Yotsukasa,M11e,1973-09-25
65,Dewataira,J4w,1974-09-13
70,Kitazakura,M9w,1971-12-15
78,Toyozakura,M5e,1974-03-12
842,Miyabiyama,O,1977-07-28
145,Kobo,M9w,1973-08-18
97,Tochinohana,K,1973-02-28
129,Hayateumi,S,1975-07-05
86,Futatsukuba,J13w,1974-10-07
116,Nakao,M12e,1973-02-13
71,Takanowaka,S,1976-04-02
69,Towanoyama,M13w,1977-07-10
107,Kasuganishiki,M5w,1975-08-22
167,Tamanokuni,J7e,1975-12-28
79,Kotoiwakuni,J12e,1972-10-21
88,Tamarikido,M8e,1974-04-19
152,Tamanoshima,S,1977-09-15
876,Kotomitsuki,O,1976-04-11
875,Takamisakari,K,1976-05-12
81,Wakakosho,M14e,1975-03-04
89,Aminishiki,S,1978-10-03
105,Buyuzan,M1e,1974-07-29
251,Wakatoryu,J3w,1978-07-27
163,Senshuyama,J1e,1975-09-01
84,Tomikaze,J8w,1972-01-27
874,Hamanishiki,M11e,1976-11-23
878,Asashoryu,Y,1980-09-27
199,Kuniazuma,J4w,1975-09-04
149,Juzan,J2e,1975-04-08
92,Harunoyama,M10e,1976-08-02
99,Shunketsu,M12w,1976-07-13
785,Furuichi,J12e,1976-02-21
225,Takanotsuru,M8w,1976-06-18
1018,Shimotori,K,1978-03-18
222,Sumanofuji,J9w,1977-12-21
287,Wakatoba,M11e,1977-06-15
104,Wakaazuma,J13w,1976-04-21
226,Wakatenro,J2w,1977-10-18
135,Hokutoriki,S,1977-10-31
175,Ushiomaru,M10w,1978-05-11
1087,Iwakiyama,K,1976-03-02
168,Hokutoiwa,J10e,1974-06-01
784,Daishodai,J1w,1976-02-25
132,Kotonomine,J13w,1972-10-28
1009,Asasekiryu,S,1981-08-07
865,Kasugao,M3w,1977-07-01
1284,Takekaze,S,1979-06-21
204,Ryuho,M16e,1977-06-18
101,Dewanofuji,J9w,1976-12-04
1204,Kakizoe,K,1978-08-12
95,Hidenokuni,J13w,1974-11-08
1187,Kokkai,K,1981-03-10
2834,Futeno,K,1980-08-28
130,Kaido,J4w,1975-10-24
113,Asofuji,M13e,1976-01-17
103,Tochifudo,J12w,1977-06-14
864,Bushuyama,M3w,1976-05-21
1421,Roho,K,1980-03-09
122,Daimanazuru,M16w,1977-01-16
1123,Hakuho,Y,1985-03-11
2818,Tokitenku,K,1979-09-10
1111,Harumafuji,Y,1984-04-14
240,Ichinotani,J12e,1976-06-10
2830,Kotooshu,O,1983-02-19
1235,Kisenosato,Y,1986-07-03
1227,Toyonoshima,S,1983-06-29
1243,Katayama,M13w,1979-09-06
1226,Kotoshogiku,O,1984-01-30
924,Wakakirin,M9w,1983-09-21
1402,Hakurozan,M2e,1982-02-06
795,Tamaasuka,M9w,1983-01-26
147,Toyonokuni,J13e,1979-05-23
206,Kotokasuga,M7e,1977-08-25
239,Maikaze,J10w,1976-09-21
898,Chiyohakuho,M6w,1983-04-21
5988,Oiwato,M16e,1981-05-18
136,Dewanosato,J14e,1970-11-22
371,Kyokunankai,M16e,1977-12-14
5967,Yoshikaze,S,1982-03-19
2847,Masatsukasa,M8w,1984-06-07
216,Raiko,J11w,1978-05-05
5984,Shirononami,J4w,1981-07-16
300,Dairaido,J2e,1980-04-17
6432,Baruto,O,1984-11-05
1219,Kakuryu,Y,1985-08-10
1136,Mokonami,M6e,1984-04-05
6018,Homasho,K,1981-04-16
5985,Satoyama,M12w,1981-05-31
1032,Hochiyama,M14w,1982-01-18
